OJ,Problem Number,Problem Title,AC Users,Try Users,AC Submission,All Submission
HDU,1109,Run Away,255,,553,1314
HDU,1107,武林,711,,1016,3652
HDU,1105,The Wolves and the Sheep,20,,42,658
HDU,1104,Remainder,664,,1087,4291
HDU,1103,Flo's Restaurant,485,,639,2042
HDU,1102,Constructing Roads,4929,,9401,24388
HDU,1101,The Parallel Challenge Ballgame,26,,40,671
HDU,1106,排序,11641,,18380,61921
HDU,1100,Trees Made to Order,608,,838,1473
HDU,1108,最小公倍数,23023,,32328,58137
HDU,1298,T9,680,,1221,3209
HDU,1299,Diophantus of Alexandria,776,,1409,3497
HDU,1296,Polynomial Problem,341,,498,1225
HDU,1295,Move Move Look,563,,669,1060
HDU,1297,Children’s Queue,3066,,5119,15311
HDU,1294,Rooted Trees Problem,230,,331,810
HDU,1293,The Number of Paths,245,,322,802
HDU,1292,"""下沙野骆驼""ACM夏令营",601,,727,1345
HDU,1291,Closing Ceremony of Sunny Cup,45,,54,281
HDU,1288,Hat's Tea,320,,437,1932
HDU,1290,献给杭电五十周年校庆的礼物,4809,,6687,11816
HDU,1289,Hat’s IEEE,203,,274,676
HDU,1287,破译密码,2003,,2536,5438
HDU,1286,找新朋友,3984,,7372,13809
HDU,1283,最简单的计算机,3400,,4559,8100
HDU,1282,回文数猜想,3558,,4588,7474
HDU,1285,确定比赛名次,4893,,11522,28918
HDU,1284,钱币兑换问题,3926,,6672,10978
HDU,1281,棋盘游戏,1596,,3137,5305
HDU,1278,漂亮面料的设计,168,,211,560
HDU,1277,全文检索,390,,663,1889
HDU,1279,验证角谷猜想,4193,,5255,10371
HDU,1280,前m大的数,3605,,6728,19667
HDU,1276,士兵队列训练问题,2181,,4114,9342
HDU,1275,两车追及或相遇问题,368,,486,1495
HDU,1273,漫步森林,1500,,1958,2926
HDU,1274,展开字符串,832,,1365,2817
HDU,1271,整数对,924,,1295,3550
HDU,1272,小希的迷宫,6830,,17188,54688
HDU,1270,小希的数表,327,,481,1476
HDU,1268,积木堆砌的城堡,91,,126,598
HDU,1267,下沙的沙子有几粒？,1697,,2412,4561
HDU,1269,迷宫城堡,3027,,7753,17701
HDU,1264,Counting Squares,749,,1084,2170
HDU,1265,Floating Point Presentation,245,,324,687
HDU,1266,Reverse Number,3028,,4578,10260
HDU,1263,水果,1616,,3184,7908
HDU,1262,寻找素数对,4512,,7152,14164
HDU,1260,Tickets,1033,,2588,4954
HDU,1261,字串数,936,,1275,4794
HDU,1258,Sum It Up,1873,,3588,6826
HDU,1259,ZJUTACM,1787,,2244,3965
HDU,1255,覆盖的面积,1272,,3116,6182
HDU,1254,推箱子,1375,,2593,8864
HDU,1256,画8,2020,,2876,6511
HDU,1257,最少拦截系统,7838,,17990,45657
HDU,1253,胜利大逃亡,3942,,13743,39148
HDU,1252,Hike on a Graph,234,,302,726
HDU,1249,三角形,3946,,5368,8012
HDU,1246,自共轭Ferrers图,428,,585,1231
HDU,1250,Hat's Fibonacci,2451,,4005,11964
HDU,1251,统计难题,6637,,15897,44338
HDU,1245,Saving James Bond,392,,760,3566
HDU,1243,反恐训练营,661,,1247,5019
HDU,1247,Hat’s Words,2528,,5791,16232
HDU,1248,寒冰王座,6095,,9478,18197
HDU,1244,Max Sum Plus Plus Plus,613,,960,1910
HDU,1242,Rescue,4877,,11361,32486
HDU,1240,Asteroids!,2042,,3534,5554
HDU,1239,Calling Extraterrestrial Intelligence Again,2033,,3136,5927
HDU,1241,Oil Deposits,7292,,19590,33698
HDU,1237,简单计算器,4217,,8130,22490
HDU,1238,Substrings,2837,,5181,10821
HDU,1236,排名,5563,,9005,24522
HDU,1234,开门人和关门人,5930,,8717,16912
HDU,1235,统计同成绩学生人数,9174,,12313,21734
HDU,1230,火星A+B,2960,,4464,12998
HDU,1227,Fast Food,895,,1365,3129
HDU,1231,最大连续子序列,7886,,15665,34527
HDU,1226,超级密码,763,,1452,4472
HDU,1225,Football Score,757,,1114,3829
HDU,1233,还是畅通工程,8788,,22484,49250
HDU,1223,Order Count,304,,364,918
HDU,1224,Free DIY Tour,1325,,2347,7162
HDU,1228,A + B,7213,,10372,17248
HDU,1229,还是A+B,8243,,10381,21372
HDU,1232,畅通工程,13151,,30743,57457
HDU,1221,Rectangle and Circle,637,,851,3242
HDU,1220,Cube,1463,,1815,2256
HDU,1222,Wolf and Rabbit,3020,,4574,8987
HDU,1219,AC Me,5845,,8116,19226
HDU,1218,Blurred Vision,471,,565,755
HDU,1217,Arbitrage,2074,,3978,8626
HDU,1216,Assistance Required,837,,1472,2735
HDU,1215,七夕节,8392,,15233,47409
HDU,1214,圆桌会议,2733,,3773,5386
HDU,1211,RSA,1161,,1724,2428
HDU,1212,Big Number,4272,,5828,8443
HDU,1213,How Many Tables,7166,,16953,33889
HDU,1210,Eddy's 洗牌问题,2670,,3226,4817
HDU,1209,Clock,1351,,1952,6112
HDU,1208,Pascal's Travels ,864,,1224,2579
HDU,1207,汉诺塔II,2844,,4351,8766
HDU,1206,劲乐团,3,,4,360
HDU,1205,吃糖果,6666,,11958,41432
HDU,1204,糖果大战,790,,1190,3362
HDU,1203,I NEED A OFFER!,6083,,12235,29990
HDU,1202,The calculation of GPA,5208,,7101,29809
HDU,1200,To and Fro,3750,,4795,6970
HDU,1201,18岁生日,7580,,10961,33725
HDU,1397,Goldbach's Conjecture,1876,,2713,6942
HDU,1399,Starship Hakodate-maru,355,,563,827
HDU,1398,Square Coins,5151,,8873,12914
HDU,1396,Counting Triangles,1136,,1528,3160
HDU,1393,Weird Clock,1215,,1510,4052
HDU,1395,2^x mod n = 1,3703,,5580,17822
HDU,1394,Minimum Inversion Number,5107,,12826,21408
HDU,1392,Surround the Trees,2252,,4615,11885
HDU,1389,Markov Trains,1,,1,124
HDU,1391,Number Steps,2724,,3477,5671
HDU,1390,Binary Numbers,2700,,3536,5788
HDU,1387,Team Queue,509,,1008,2907
HDU,1388,Input,48,,65,194
HDU,1386,Elevator Simulation,3,,3,194
HDU,1384,Intervals,820,,1672,4414
HDU,1385,Minimum Transport Cost,1579,,3188,11405
HDU,1382,Ball Toss,42,,47,158
HDU,1383,Company,1,,1,384
HDU,1380,Nonstop Travel,36,,63,236
HDU,1381,Crazy Search,629,,1083,2755
HDU,1379,DNA Sorting,1151,,1658,3431
HDU,1377,A Well-Formed Problem,17,,21,227
HDU,1375,Chemical Reactions,15,,18,159
HDU,1378,Formatting Text,25,,37,154
HDU,1373,Channel Allocation,226,,407,940
HDU,1376,Octal Fractions,198,,391,841
HDU,1374,The Circumference of the Circle,590,,750,1006
HDU,1369,Erdos Numbers,19,,21,192
HDU,1370,Biorhythms,917,,1756,4465
HDU,1372,Knight Moves,3740,,7068,12051
HDU,1371,Clock,41,,45,270
HDU,1368,University Entrance Examination,24,,33,295
HDU,1366,The Willy Memorial Program,27,,41,175
HDU,1367,Parallel Expectations,10,,13,210
HDU,1365,Puzzle Out,16,,18,188
HDU,1364,Illusive Chase,111,,158,350
HDU,1363,Deformed Wheel,2,,2,211
HDU,1362,The Bermuda Triangle,64,,85,210
HDU,1361,Parencodings,449,,606,1007
HDU,1360,Spell checker,80,,88,414
HDU,1359,As the Crow Flies,5,,5,175
HDU,1358,Period,1995,,4387,9169
HDU,1357,Cave Exploration,2,,2,121
HDU,1356,The Balance,130,,166,353
HDU,1354,Choose Your Own Adventure,45,,53,232
HDU,1355,The Peanuts,390,,498,824
