OJ,Problem Number,Problem Title,AC Users,Try Users,AC Submission,All Submission
CodeForces,814D,An overnight dance in discotheque, x1141,,,
CodeForces,814C,An impassioned circulation of affection, x2875,,,
CodeForces,814B,An express train to reveries, x3857,,,
CodeForces,814A,An abandoned sentiment from past, x6243,,,
CodeForces,813F,Bipartite Checking, x142,,,
CodeForces,813E,Army Creation, x468,,,
CodeForces,813D,Two Melodies, x289,,,
CodeForces,813C,The Tag Game, x1666,,,
CodeForces,813B,The Golden Age, x1618,,,
CodeForces,813A,The Contest, x2860,,,
CodeForces,812E,Sagheer and Apple Tree, x552,,,
CodeForces,812D,Sagheer and Kindergarten, x194,,,
CodeForces,812C,Sagheer and Nubian Market, x3522,,,
CodeForces,812B,"Sagheer, the Hausmeister", x2602,,,
CodeForces,812A,Sagheer and Crossroads, x4500,,,
CodeForces,811E,Vladik and Entertaining Flags, x295,,,
CodeForces,811D,Vladik and Favorite Game, x860,,,
CodeForces,811C,Vladik and Memorable Trip, x1857,,,
CodeForces,811B,Vladik and Complicated Book, x4265,,,
CodeForces,811A,Vladik and Courtesy, x6421,,,
CodeForces,810B,Summer sell-off, x3646,,,
CodeForces,810A,Straight <<A>>, x5265,,,
CodeForces,809E,Surprise me!, x80,,,
CodeForces,809D,Hitchhiking in the Baltic States, x160,,,
CodeForces,809C,Find a car, x302,,,
CodeForces,809B,Glad to see you!, x759,,,
CodeForces,809A,Do you want a date?, x3134,,,
CodeForces,808G,Anthem of Berland, x275,,,
CodeForces,808F,Card Game, x238,,,
CodeForces,808E,Selling Souvenirs, x608,,,
CodeForces,808D,Array Division, x1765,,,
CodeForces,808C,Tea Party, x2554,,,
CodeForces,808B,Average Sleep Time, x2950,,,
CodeForces,808A,Lucky Year, x4312,,,
CodeForces,807B,T-Shirt Hunt, x2819,,,
CodeForces,807A,Is it rated?, x4646,,,
CodeForces,805B,3-palindrome, x6284,,,
CodeForces,805A,Fake NP, x6733,,,
CodeForces,804F,Fake bullions, x22,,,
CodeForces,804E,The same permutation, x132,,,
CodeForces,804D,Expected diameter of a tree, x522,,,
CodeForces,804C,Ice cream coloring, x1048,,,
CodeForces,804B,Minimum number of steps, x4763,,,
CodeForces,804A,Find Amir, x7034,,,
CodeForces,803G,Periodic RMQ Problem, x242,,,
CodeForces,803F,Coprime Subsequences, x501,,,
CodeForces,803E,Roma and Poker, x639,,,
CodeForces,803D,Magazine Ad, x986,,,
CodeForces,803C,Maximal GCD, x1396,,,
CodeForces,803B,Distances to Zero, x2778,,,
CodeForces,803A,Maximal Binary Matrix, x2107,,,
CodeForces,802O,April Fools' Problem (hard), x49,,,
CodeForces,802N,April Fools' Problem (medium), x158,,,
CodeForces,802M,April Fools' Problem (easy), x1119,,,
CodeForces,802L,Send the Fool Further! (hard), x53,,,
CodeForces,802K,Send the Fool Further! (medium), x292,,,
CodeForces,802J,Send the Fool Further! (easy), x804,,,
CodeForces,802I,Fake News (hard), x169,,,
CodeForces,802H,Fake News (medium), x186,,,
CodeForces,802G,Fake News (easy), x1360,,,
CodeForces,802F,Marmots (hard), x65,,,
CodeForces,802E,Marmots (medium), x146,,,
CodeForces,802D,Marmots (easy), x249,,,
CodeForces,802C,Heidi and Library (hard), x96,,,
CodeForces,802B,Heidi and Library (medium), x511,,,
CodeForces,802A,Heidi and Library (easy), x662,,,
CodeForces,801B,Valued Keys, x4865,,,
CodeForces,801A,Vicious Keyboard, x4727,,,
CodeForces,799G,Cut the pie, x34,,,
CodeForces,799F,Beautiful fountains rows, x61,,,
CodeForces,799E,Aquarium decoration, x406,,,
CodeForces,799D,Field expansion, x1161,,,
CodeForces,799C,Fountains, x2035,,,
CodeForces,799B,T-shirt buying, x3272,,,
CodeForces,799A,Carrot Cakes, x4198,,,
CodeForces,798E,Mike and code of a permutation, x125,,,
CodeForces,798D,Mike and distribution, x934,,,
CodeForces,798C,Mike and gcd problem, x2653,,,
CodeForces,798B,Mike and strings, x4298,,,
CodeForces,798A,Mike and palindrome, x7069,,,
CodeForces,797F,Mice and Holes, x187,,,
CodeForces,797E,Array Queries, x878,,,
CodeForces,797D,Broken BST, x624,,,
CodeForces,797C,Minimal string, x1466,,,
CodeForces,797B,Odd sum, x2783,,,
CodeForces,797A,k-Factorization, x3275,,,
CodeForces,796F,Sequence Recovery, x62,,,
CodeForces,796E,Exam Cheating, x243,,,
CodeForces,796D,Police Stations, x1230,,,
CodeForces,796C,Bank Hacking, x1673,,,
CodeForces,796B,Find The Bone, x4795,,,
CodeForces,796A,Buying A House, x6978,,,
CodeForces,794G,Replace All, x33,,,
CodeForces,794F,Leha and security system, x240,,,
CodeForces,794E,Choosing Carrot, x191,,,
CodeForces,794D,Labelling Cities, x413,,,
CodeForces,794C,Naming Company, x1809,,,
CodeForces,794B,Cutting Carrot, x3016,,,
CodeForces,794A,Bank Robbery, x3786,,,
CodeForces,793G,Oleg and chess, x40,,,
CodeForces,793F,Julia the snail, x81,,,
CodeForces,793E,Problem of offices, x124,,,
CodeForces,793D,Presents in Bankopolis, x882,,,
CodeForces,793C,Mice problem, x805,,,
CodeForces,793B,Igor and his way to work, x2123,,,
CodeForces,793A,Oleg and shares, x3694,,,
CodeForces,792F,Mages and Monsters, x45,,,
CodeForces,792E,Colored Balls, x394,,,
CodeForces,792D,Paths in a Complete Binary Tree, x1309,,,
CodeForces,792C,Divide by Three, x1356,,,
CodeForces,792B,Counting-out Rhyme, x3145,,,
CodeForces,792A,New Bus Route, x4472,,,
CodeForces,791A,Bear and Big Brother, x9366,,,
CodeForces,789B,Masha and geometric depression, x3170,,,
CodeForces,789A,Anastasia and pebbles, x5688,,,
CodeForces,788E,New task, x95,,,
CodeForces,788D,Finding lines, x84,,,
CodeForces,788C,The Great Mixing, x1015,,,
CodeForces,788B,Weird journey, x1228,,,
CodeForces,788A,Functions again, x4016,,,
CodeForces,787B,Not Afraid, x3990,,,
CodeForces,787A,The Monster, x5414,,,
CodeForces,786E,ALT, x80,,,
CodeForces,786D,Rap God, x29,,,
CodeForces,786C,Till I Collapse, x654,,,
CodeForces,786B,Legacy, x717,,,
CodeForces,786A,Berzerk, x1267,,,
CodeForces,785E,Anton and Permutation, x603,,,
CodeForces,785D,Anton and School - 2, x1118,,,
CodeForces,785C,Anton and Fairy Tale, x3926,,,
CodeForces,785B,Anton and Classes, x6195,,,
CodeForces,785A,Anton and Polyhedrons, x8886,,,
CodeForces,784G,BF Calculator, x472,,,
CodeForces,784F,Crunching Numbers Just for You, x522,,,
CodeForces,784E,Twisted Circuit, x849,,,
CodeForces,784D,Touchy-Feely Palindromes, x193,,,
CodeForces,784C,INTERCALC, x317,,,
CodeForces,784B,Kids' Riddle, x423,,,
CodeForces,784A,Numbers Joke, x1668,,,
CodeForces,780H,Intranet of Buses, x28,,,
CodeForces,780G,Andryusha and Nervous Barriers, x227,,,
CodeForces,780F,Axel and Marston in Bitland, x524,,,
CodeForces,780E,Underground Lab, x1179,,,
CodeForces,780D,Innokenty and a Football League, x1817,,,
CodeForces,780C,Andryusha and Colored Balloons, x3850,,,
CodeForces,780B,The Meeting Place Cannot Be Changed, x3383,,,
CodeForces,780A,Andryusha and Socks, x6472,,,
CodeForces,779C,Dishonest Sellers, x5324,,,
